PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
265584996,21204292,27,2021-11-09T11:33:00,"10 Block S 18th St & Pius St Pittsburgh, PA 15203",N,South Side Slopes,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1706,3,3,-79.9810494524616,40.4258107404877
265586753,21204310,27,2021-11-09T06:00:00,"2800 Block Kenilworth St Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1919,4,5,-80.0265703941774,40.3962025524721
265590252,21204294,10,2021-11-09T11:34:00,"2800 Block Straka St Pittsburgh, PA 15204",N,Sheraden,6,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2022,,,0,0
264649891,21196425,11,2021-10-27T11:16:00,"100 Block Abner Ave Pittsburgh, PA 15210",N,Bon Air,3,CREDIT CARDS,4106 Access Device Fraud / 7615(a)(3) Computer Trespass - Alter/Erase Data,1806,4,5,-79.998250624086,40.4085919406634
264654565,21196451,11,2021-10-27T11:59:00,"5700 Block Dellaglen Ave Pittsburgh, PA 15207",N,Lincoln Place,4,IDENTITY THEFT,4120 Identity Theft,3102,5,3,-79.9198640572842,40.3665427588476
-3270901116,21202584,27,2021-11-06T10:19:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-79.9960409452176,40.4350395659105
-3293029456,21208289,24,2021-11-16T10:42:00,"Ohio River Blvd & Mckees Rocks Brg Pittsburgh, PA 15212",Y,Brighton Heights,1,OBSTRUCT HIGHWAYS/PUB PASSAGES,5507 Obstructing Highways and Passages.,2701,1,1,-80.0438525222314,40.4795625086697
266056696,21208341,0,2021-11-16T12:58:00,"2300 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,4,99,9998 Overdose Other,2904,4,3,-79.9855231716653,40.3890572692795
266088585,21208425,27,2021-11-16T14:35:00,"400 Block Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,708,8,2,-79.9228755275238,40.4553665156096
266099134,21208448,99,2021-11-16T16:44:00,"400 Block Enright Ct Pittsburgh, PA 15206",Y,East Liberty,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1115,9,2,-79.9165703561378,40.4609408109421
266102509,21208529,15,2021-11-16T18:55:00,"6500 Block Clifford St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,1203,9,2,-79.9038839108881,40.4686783025569
266103003,21208522,29,2021-11-14T03:00:00,"1200 Block Thelma St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2715,1,1,-80.0271774539283,40.4689872782725
266110833,21208581,99,2021-11-16T20:30:00,"Cedar Ave & Avery St Pittsburgh, PA 15212",Y,Allegheny Center,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2204,1,1,-80.0014948952304,40.4526987785049
266111120,21208559,14,2021-11-16T20:00:00,"600 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,CRIM MISCHIEF,3304 Criminal Mischief.,2304,1,1,-80.0013495154314,40.4528425127738
265757967,21205514,11,2021-11-11T00:30:00,"10th St Brg Pittsburgh, PA 15219",N,South Shore,3,CREDIT CARDS,4106 Access Device Fraud,1921,6,3,-79.9898776175773,40.4346629704129
264994859,21199786,26,2021-11-01T15:08:00,"1300 Block Chicago St Pittsburgh, PA 15214",N,Northview Heights,1,FALSE RPT LAW ENFORCE AUTH,4906 False Reports to Law Enforcement Authorities.,2609,1,1,-80.0018064639388,40.4780460801605
265000354,21199848,27,2021-11-01T16:45:00,"7500 Block Meade St Pittsburgh, PA 15208",N,Point Breeze North,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1405,9,2,-79.8949529395563,40.4481474041843
265012744,21199956,6,2021-11-01T19:31:00,"1800 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1917,4,5,-80.0152802934132,40.4055728713814
265014644,21199968,6,2021-11-01T19:50:00,"700 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 3745 Accidents Involving Damage to Unattended Veh.or Prop.,2609,1,1,-79.9982412589835,40.4759997700279
265014823,21199946,0,2021-11-01T20:30:00,"6100 Block Stanton Ave Pittsburgh, PA 15206",N,Highland Park,5,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1106,9,2,-79.9186239632842,40.4687844324904
265024431,21200011,6,2021-10-30T18:00:00,"S 17th St & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1702,3,3,-79.9820508989135,40.4288428977869
265025301,21200039,14,2021-11-01T20:15:00,"80 Block S 26th St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1609,3,3,-79.9687664294195,40.426985565419
265046955,21200225,11,2021-10-30T12:00:00,"700 Block Oakville St Pittsburgh, PA 15207",N,New Homestead,4,IDENTITY THEFT,4120 Identity Theft,3103,,,0,0
265047948,21200232,11,2021-11-01T12:00:00,"5500 Block Avondale Pl Pittsburgh, PA 15206",N,Highland Park,5,IDENTITY THEFT,4120 Identity Theft,1102,7,2,-79.9282741888155,40.4741692060921
265051262,21200242,6,2021-10-29T06:00:00,"4900 Block Wallingford St Pittsburgh, PA 15213",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,709,,,0,0
265054978,21200188,0,2021-11-02T08:42:00,"800 Block Lillian Way Pittsburgh, PA 15210",N,Allentown,3,99,9999 9999 - (Misc. Incident): ,1803,3,5,-79.9935541955948,40.4186192859985
266335350,21209670,6,2021-11-18T16:55:00,"1000 Block Riverside Dr Danville, VA 24540",N,Outside State,OSC,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,7799,,,0,0
266339180,21209718,99,2021-11-18T18:01:00,"7900 Block Tioga St Pittsburgh, PA 15221",N,Homewood South,5,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1304,9,2,-79.8868071923226,40.4500265322096
266339379,21209680,0,2021-11-18T16:56:00,"200 Block N Fairmount St Pittsburgh, PA 15206",N,Garfield,5,99,9993 PFA Service with Weapons Supplement,1114,7,2,-79.9338068865,40.4623353530439
266350064,21209859,0,2021-11-19T00:41:00,"Frankstown Ave & Sterrett St Pittsburgh, PA 15208",N,Homewood North,5,99,9997 Overdose Death,1302,9,2,-79.8941483332637,40.4569078074907
266353048,21208098,6,2021-11-15T23:40:00,"6900 Block Kelly St Pittsburgh, PA 15208",Y,Homewood West,5,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License.",1207,9,2,-79.9043607371358,40.4571985079463
266353098,21209790,4,2021-11-18T20:25:00,"Brushton Ave & Kelly St Pittsburgh, PA 15221",Y,Homewood South,5,AGG-ASSAULT,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 9501 Bench Warrant,1304,9,2,-79.8888245044413,40.4536709881337
265139631,21200358,99,2021-11-02T13:46:00,"5300 Block N Aiken Ct Pittsburgh, PA 15206",N,Homewood North,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1301,,,0,0
265739332,21205396,27,2021-11-11T05:10:00,"1100 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,3206,4,5,-80.0153820316549,40.3915878301337
265744234,21205420,99,2021-11-11T09:05:00,"800 Block Grandview Ave Pittsburgh, PA 15211",N,Mount Washington,3,FOUND PROPERTY,9489 Found Property,1903,2,5,-80.0153746653757,40.4362811182412
265751573,21205504,10,2021-11-11T11:30:00,"2800 Block Larkins Way Pittsburgh, PA 15203",N,South Side Flats,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709 Harassment (Non-Specific),1609,3,3,-79.9668109784648,40.4251569667969
265761379,21205520,10,2021-11-11T10:00:00,"3100 Block W Carson St Pittsburgh, PA 15204",N,Esplen,6,HARRASSMENT,2709(a) Harassment.,2017,3,3,-79.9597256889051,40.4208581563975
265793852,21205755,10,2021-11-11T19:06:00,"100 Block Penfort St Pittsburgh, PA 15214",Y,Northview Heights,1,INTIMIDATION  WITNESS/VICTIMS,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 4952 Intimidation of Witnesses or Victims / 2902 Unlawful Restraint.",2609,,,0,0
